Date,O3_3hrAvgMax,NO2_3hrAvgMax,PM2.5_3hrAvgMax,PM10_3hrAvgMax,O3_%ER,NO2_%ER,PM2.5_%ER,PM10_%ER
2000-01-01,41.0,12.0,6.266666666666667,16.633333333333333,1.7747858055159993,0.8646208894607099,0.40684056718744976,0.6828936015665921
2000-01-02,26.666666666666668,13.666666666666666,4.433333333333333,14.299999999999999,1.1507794804218596,0.985296911484923,0.28764707623631924,0.5868164214910543
2000-01-03,61.0,17.666666666666668,6.233333333333333,18.26666666666667,2.6519307792329805,1.2755087583473657,0.40467214888266767,0.7502022253922602
2000-01-04,59.666666666666664,17.666666666666668,7.833333333333333,18.46666666666667,2.5932199755796637,1.2755087583473657,0.5088090702284109,0.7584471893637312
2000-01-05,51.666666666666664,18.333333333333332,4.466666666666667,19.133333333333336,2.2416596427593305,1.3239584193160736,0.28981296717556226,0.7859352759798099
2000-01-06,43.0,11.666666666666666,6.666666666666667,28.8,1.862161963287079,0.8405029953129084,0.43286523994174875,1.1853562756267477
2000-01-07,35.0,9.666666666666666,6.599999999999999,24.933333333333334,1.5131067765005168,0.695916686374809,0.4285273260998368,1.0253982745722423
2000-01-08,27.0,10.333333333333334,4.466666666666666,15.966666666666667,1.165247711228301,0.744089073600529,0.28981296717556226,0.655433618261414
2000-01-09,33.0,15.666666666666666,4.533333333333334,14.600000000000001,1.4260300341402576,1.1302987329880443,0.29414488938386274,0.5991640638701279
2000-01-10,45.0,16.333333333333332,8.799999999999999,17.533333333333335,1.9496131356394608,1.1786789262583586,0.5717774594834024,0.7199764626490079
2000-01-11,32.333333333333336,17.0,3.8333333333333335,14.466666666666667,1.397021055051928,1.2270822643539958,0.24866903692348785,0.5936760356944237
2000-01-12,34.333333333333336,13.0,5.266666666666667,18.3,1.4840728924898627,0.93700918689823,0.34180838492623433,0.7515763392001107
2000-01-13,37.666666666666664,15.666666666666666,5.8,19.7,1.6293254002235802,1.1302987329880443,0.37648697206940085,0.809306045668845
2000-01-14,40.333333333333336,17.0,8.233333333333333,23.233333333333334,1.7456770783760511,1.2270822643539958,0.5348601724262547,0.9551519623905103
2000-01-15,59.666666666666664,16.333333333333332,12.9,30.166666666666668,2.5932199755796637,1.1786789262583586,0.8392890738926573,1.241953713205235
2000-01-16,73.0,21.0,10.299999999999999,29.333333333333332,3.181842245492472,1.5179889546832248,0.6695651394985624,1.2074393151638718
2000-01-17,38.333333333333336,21.333333333333332,6.266666666666667,18.166666666666668,1.6584008399615602,1.5422688822815722,0.40684056718744976,0.7460799964139619
2000-01-18,73.0,19.666666666666668,7.333333333333333,21.133333333333336,3.181842245492472,1.4209272865167266,0.4762546851576843,0.8684445384472328
2000-01-19,114.0,23.333333333333332,19.03333333333333,46.06666666666666,5.013098935535387,1.6880704434770966,1.2407980224311999,1.9027478283323296
2000-01-20,90.0,22.666666666666668,14.700000000000003,32.1,3.9372361850654958,1.6394466765575322,0.9569578543807022,1.3220724533090866
2000-01-21,67.66666666666667,24.333333333333332,14.366666666666669,62.03333333333333,2.94598915680917,1.7610497123644153,0.9351569850081232,2.5706526955313613
2000-01-22,57.0,19.0,9.433333333333335,26.83333333333333,2.4758990863390284,1.3724312583431209,0.6130539994801287,1.103966702824155
2000-01-23,47.0,20.333333333333332,4.9666666666666694,17.233333333333327,2.0371393869750287,1.4694465149304614,0.32230694498389667,0.7076139916348589
2000-01-24,35.0,14.333333333333334,4.933333333333336,17.59999999999999,1.5131067765005168,1.033607736660458,0.32014035229430693,0.7227238845129103
2000-01-25,27.0,23.666666666666668,6.4666666666666694,18.633333333333326,1.165247711228301,1.7123910492476302,0.4198520604997258,0.7653185080915614
2000-01-26,53.666666666666664,30.0,11.366666666666669,27.599999999999994,2.3294366232070374,2.17558932480002,0.7391608864729005,1.1356870524394047
2000-01-27,49.666666666666664,28.666666666666668,7.433333333333336,19.133333333333326,2.1539579563672806,2.077898922853749,0.4827647185241313,0.7859352759797877
2000-01-28,42.333333333333336,16.333333333333332,7.800000000000003,18.633333333333326,1.8330282455886415,1.1786789262583586,0.5066384497791621,0.7653185080915614
2000-01-29,57.666666666666664,20.0,6.86666666666667,21.033333333333328,2.5052167248921453,1.4451840000000216,0.44588010573198833,0.8643174715442514
2000-01-30,49.0,22.666666666666668,6.600000000000002,19.56666666666666,2.1247407817509556,1.6394466765575322,0.4285273260998368,0.8038065535299177
2000-01-31,54.333333333333336,17.0,10.600000000000003,22.666666666666657,2.3587123598730386,1.2270822643539958,0.6891340822229974,0.9317473810280807
2000-02-01,55.0,19.666666666666668,8.133333333333338,19.89999999999999,2.387996472122711,1.4209272865167266,0.5283467639223494,0.8175558464431854
2000-02-02,79.33333333333333,19.666666666666668,14.500000000000005,25.766666666666662,3.462619708183756,1.4209272865167266,0.9438767677728555,1.0598505918320011
2000-02-03,106.66666666666667,26.666666666666668,12.233333333333336,28.633333333333326,4.683186868068123,1.931538420962009,0.7957428567033631,1.1784563139747295
2000-02-04,139.0,30.666666666666668,13.633333333333338,34.29999999999999,6.1456330297144035,2.2244695794910063,0.8872116421599241,1.413319180531336
2000-02-05,130.33333333333334,33.333333333333336,15.633333333333338,39.33333333333332,5.751644693045765,2.420224550670147,1.018025342393325,1.6223898163560513
2000-02-06,54.333333333333336,23.0,14.266666666666671,36.26666666666665,2.3587123598730386,1.663755653043908,0.9286176422495851,1.4949577847698459
2000-02-07,67.0,19.666666666666668,11.333333333333337,32.69999999999999,2.9165454524102907,1.4209272865167266,0.7369852912719965,1.3469497791781748
2000-02-08,76.66666666666667,22.333333333333332,12.033333333333339,30.36666666666665,3.3443046133829757,1.6151435126277924,0.7826826588722025,1.2502389200070851
2000-02-09,125.33333333333333,32.0,14.333333333333337,47.333333333333314,5.525009294771199,2.3223002522158698,0.9329771570126821,1.9555748167851217
2000-02-10,154.33333333333334,35.333333333333336,19.400000000000006,37.066666666666656,6.846288532945399,2.5672867426209223,1.2648518550541832,1.5281855095882646
2000-02-11,90.0,33.333333333333336,28.000000000000004,59.26666666666665,3.9372361850654958,2.420224550670147,1.8306654488115193,2.454606946412796
2000-02-12,66.33333333333333,26.333333333333332,15.300000000000004,43.066666666666656,2.8871101692401924,1.907165414527423,0.9962112859719374,1.777740434180508
2000-02-13,35.0,8.333333333333334,5.833333333333338,21.499999999999986,1.5131067765005168,0.5996410040866484,0.37865478166492217,0.8835785618973135
2000-02-14,37.666666666666664,13.666666666666666,4.500000000000004,15.433333333333318,1.6293254002235802,0.985296911484923,0.2919789048910548,0.6334710240562647
2000-02-15,38.333333333333336,18.333333333333332,6.000000000000004,14.866666666666653,1.6584008399615602,1.3239584193160736,0.3894945319285803,0.6101410184589096
2000-02-16,61.666666666666664,20.333333333333332,11.900000000000004,22.43333333333332,2.681298779223207,1.4694465149304614,0.773976800454923,0.9221117776223808
2000-02-17,71.66666666666667,23.333333333333332,13.200000000000003,26.599999999999984,3.122828363973862,1.6880704434770966,0.8588910088918267,1.0943146582378827
2000-02-18,74.33333333333333,23.0,13.933333333333339,32.19999999999999,3.2408898987594803,1.663755653043908,0.9068228927252564,1.3262182501800446
2000-02-19,102.0,21.0,9.666666666666671,22.499999999999986,4.473782675790927,1.5179889546832248,0.6282654157872214,0.924864713297957
2000-02-20,102.66666666666667,51.666666666666664,14.03333333333334,30.733333333333324,4.503671894876327,3.7762257366911856,0.9133608233636181,1.2654302268340523
