Date,PM2.5,PM10,NO2,O3,PM2.5_%ER,PM10_%ER,NO2_%ER,O3_%ER,PMmax_%ER,PMmax_source,LP_PM2.5,LP_PM10,LP_PMmax,LP_NO2,LP_O3,LP_total,Total_%ER,AQHI_Band,AQHI_Value,ER_without_PMmax,ER_without_NO2,ER_without_O3,Drop_PMmax,Drop_NO2,Drop_O3,PctDrop_PMmax,PctDrop_NO2,PctDrop_O3,Dominant_driver
2000-01-19,19.0,46.1,23,114,1.2407340241636033,1.9033776088605014,1.6651109801961494,5.012163466678676,1.9033776088605014,PM10,0.012330999999999998,0.0188549,0.0188549,0.016514,0.048906000000000005,0.08427490000000001,8.792792409156336,Moderate,4,6.760732531103852,7.0109414726834185,3.600181938616376,2.0320598780524834,1.7818509364729174,5.19261047053996,23.110518064049902,20.2649039526669,59.055306083794925,O3
2000-02-08,23.8,32.4,66,47,1.5566109131865513,1.333979158055909,4.852875932362299,2.036764639878119,1.5566109131865513,PM2.5,0.015446199999999998,0.0132516,0.015446199999999998,0.047388,0.020163,0.0829972,8.653876623543333,Moderate,4,6.98848223324795,3.6250800537249495,6.48502724191542,1.6653943902953827,5.028796569818383,2.168849381627913,19.244489640221914,58.110333536963935,25.062171278562516,NO2
2000-02-20,14.0,30.7,51,102,0.9127402998879486,1.2635461312266116,3.7296697806715295,4.472949975526586,1.2635461312266116,PM10,0.009085999999999999,0.012556300000000001,0.012556300000000001,0.036618,0.043758000000000005,0.0929323,9.738743962354036,Moderate,5,8.3694460197399,5.79301389312068,5.040342010119359,1.3692979426141356,3.945730069233356,4.698401952234677,14.06031360827717,40.51580044085685,48.24443450199286,O3
2000-02-26,12.6,34.1,23,124,0.8210926258947815,1.4044611739978397,1.6651109801961494,5.463633358460718,1.4044611739978397,PM10,0.0081774,0.013946900000000002,0.013946900000000002,0.016514,0.053196,0.0836569,8.725579234457669,Moderate,4,7.219719897626242,6.944829141667741,3.092957991414824,1.5058593368314268,1.780750092789928,5.632621243042845,17.257987078780133,20.408388313725617,64.55297799370607,O3
2000-03-03,13.7,25.7,34,106,0.893094501932068,1.0566737784643898,2.471241244710054,4.652379464155998,1.0566737784643898,PM10,0.0088913,0.0105113,0.0105113,0.024412,0.045474,0.0803973,8.37175431352335,Moderate,4,7.2385922290446825,5.758213716492788,3.5540279814098907,1.133162084478668,2.6135405970305623,4.81772633211346,13.535539171858039,31.21855347341916,57.54739271709305,O3
2000-03-08,23.1,31.4,49,65,1.5104842233196303,1.2925420350495598,3.5808208739599,2.8277425717722293,1.5104842233196303,PM2.5,0.014991899999999999,0.012842600000000001,0.014991899999999999,0.035182,0.027885,0.07805889999999999,8.118633867003645,Moderate,4,6.509819842004005,4.380939400514583,5.145392831646034,1.6088140249996394,3.737694466489062,2.973241035357611,19.816314559254863,46.03846567930693,36.622430375160505,NO2
2000-03-18,19.7,35.9,40,92,1.2867381386741705,1.4791426251832718,2.913639593835593,4.025721012161676,1.4791426251832718,PM10,0.012785299999999998,0.014683100000000001,0.014683100000000001,0.02872,0.039468,0.0828711,8.640176233528862,Moderate,4,7.056655607344964,5.56440979280679,4.435879104195495,1.5835206261838985,3.075766440722072,4.2042971293333675,18.32741119375466,35.59842250423465,48.65985386985825,O3
2000-03-31,16.2,38.9,55,106,1.0569264204646434,1.603733954333486,4.028009603198335,4.652379464155998,1.603733954333486,PM10,0.010513799999999998,0.0159101,0.0159101,0.03949,0.045474,0.1008741,10.613737030154802,Moderate,5,8.867787358947776,6.330725207640597,5.696342115222142,1.7459496712070255,4.283011822514204,4.91739491493266,16.449905120567706,40.353475975009495,46.330476258850176,O3
2000-04-02,13.6,34.3,30,139,0.8865467525756454,1.4127563981919167,2.177366046639251,6.144480114115658,1.4127563981919167,PM10,0.0088264,0.0140287,0.0140287,0.02154,0.059631,0.0951997,9.987847892817836,Moderate,5,8.455633984502175,7.644043048255367,3.62088332296715,1.5322139083156614,2.3438048445624693,6.366964569850686,15.340781365097294,23.466565267257188,63.74711187210919,O3
2000-04-10,18.6,27.9,36,104,1.2144553407316128,1.1476454955679172,2.6184956504964108,4.5626262322183475,1.2144553407316128,PM2.5,0.0120714,0.0114111,0.0120714,0.025848,0.044616,0.08253540000000001,8.603711847256946,Moderate,4,7.300594052153797,5.832492630904773,3.864751451502313,1.303117795103149,2.771219216352173,4.738960395754633,15.145995335938775,32.20957727955172,55.080417381313374,O3
2000-05-02,15.6,39.3,34,130,1.017582514072246,1.6203576849925128,2.471241244710054,5.735446424066604,1.6203576849925128,PM10,0.010124399999999999,0.0160737,0.0160737,0.024412,0.05577,0.0962557,10.10405640748937,Moderate,5,8.34842438637644,7.448738855960113,4.131641877125913,1.7556320211129304,2.655317551529257,5.972414530363457,17.375516825218966,26.279718208630264,59.109077478393324,O3
2000-05-10,36.2,46.3,43,114,2.377195334084159,1.9117136460881756,3.135554490062109,5.012163466678676,2.377195334084159,PM2.5,0.0234938,0.0189367,0.0234938,0.030874,0.048906000000000005,0.1032738,10.87949555774319,Moderate,5,8.304877073369465,7.508507716829382,5.587288079181696,2.574618484373726,3.3709878409138083,5.292207478561495,23.664870036564427,30.98478070993464,48.64386818738951,O3
2000-06-10,44.9,50.1,56,108,2.956882696406682,2.070227981018502,4.102728534979994,4.7422097374126615,2.956882696406682,PM2.5,0.029140099999999995,0.020490900000000003,0.029140099999999995,0.040208,0.046332000000000005,0.11568010000000001,12.263668320909083,Moderate,6,9.039498264478073,7.839314012972198,7.180924101518027,3.22417005643101,4.424354307936885,5.082744219391056,26.290421202389535,36.07692406678621,41.4455453815982,O3
2000-07-10,29.1,47.1,56,120,1.9065366625314661,1.9450646147141093,4.102728534979994,5.282812951897586,1.9450646147141093,PM10,0.0188859,0.0192639,0.0192639,0.040208,0.051480000000000005,0.1109519,11.734116145202588,Moderate,6,9.60228096130471,7.330631692000589,6.127593870665771,2.131835183897877,4.403484453201999,5.606522274536817,18.167837760575285,37.52719334555363,47.77967258172235,O3
2000-08-10,23.0,40.6,49,98,1.5038964066705018,1.6744035960058135,3.5808208739599,4.293828123871668,1.6744035960058135,PM10,0.014927,0.016605400000000003,0.016605400000000003,0.035182,0.042042,0.09382940000000001,9.837234761005043,Moderate,5,8.02840329158312,6.040127732389888,5.315181863445817,1.8088314694219232,3.7971070286151543,4.522052897559226,18.387600920048797,38.59933325640401,45.9687402753131,O3
2000-09-02,14.3,47.3,32,126,0.9323899232531074,1.9534040620783344,2.3241981444966697,5.554159986252061,1.9534040620783344,PM10,0.0092807,0.0193457,0.0193457,0.022976,0.054054000000000005,0.09637570000000001,10.117269687039187,Moderate,5,8.007447814091595,7.61605923511619,4.323003187540353,2.1098218729475917,2.5012104519229963,5.794266499498834,20.853668412639,24.722188192009874,57.27104919345609,O3
2000-09-14,15.0,30.9,45,84,0.9782539252144673,1.271829828098725,3.2837635349356242,3.669316677315848,1.271829828098725,PM10,0.009734999999999999,0.0126381,0.0126381,0.03231,0.036036,0.0809841,8.4353655206574,Moderate,4,7.07357189528246,4.987813969404087,4.597357247155887,1.3617936253749408,3.447551551253314,3.838008273501514,16.1438602991185,40.87020939176365,45.4990155921827,O3
2000-09-17,14.8,31.1,43,84,0.9651477984609969,1.280114202604965,3.135554490062109,3.669316677315848,1.280114202604965,PM10,0.0096052,0.012719900000000001,0.012719900000000001,0.030874,0.036036,0.0796299,8.288621731314706,Moderate,4,6.919924591208115,4.996402323845683,4.455807371024778,1.3686971401065904,3.2922194074690223,3.8328143602899276,16.512964211354998,39.719744900782494,46.24187813770557,O3
2000-09-18,20.6,44.4,41,71,1.3459170039260338,1.8325488168920545,2.9875581206395108,3.0927621149807294,1.8325488168920545,PM10,0.0133694,0.0181596,0.0181596,0.029438,0.030459,0.0780566,8.11838519443171,Moderate,4,6.172718301338409,4.981987307420144,4.874855398525324,1.9456668930933008,3.136397887011566,3.243529795906386,23.966181038413986,38.63327265085646,39.95289356473352,O3
2000-09-21,28.5,52.6,56,92,1.8668619823166255,2.1746481648504012,4.102728534979994,4.025721012161676,2.1746481648504012,PM10,0.0184965,0.021513400000000002,0.021513400000000002,0.040208,0.039468,0.10118940000000001,10.648619040300321,Moderate,5,8.293613951846313,6.287914445125042,6.366596610625153,2.355005088454009,4.360704595175279,4.282022429675169,22.1155915104236,40.95089305638541,40.21199756954028,NO2
2000-09-22,15.8,39.7,43,84,1.0306954472935281,1.6369841355163395,3.135554490062109,3.669316677315848,1.6369841355163395,PM10,0.0102542,0.016237300000000003,0.016237300000000003,0.030874,0.036036,0.08314730000000001,8.670186794472245,Moderate,4,6.919924591208115,5.366366944721701,4.823867155141226,1.7502622032641302,3.3038198497505444,3.8463196393310195,20.1871337348813,38.105521000503984,44.36259253126212,O3
2000-09-27,12.8,25.6,38,96,0.8341800530732746,1.05254064503002,2.765961665508554,4.204382397045414,1.05254064503002,PM10,0.008307199999999999,0.010470400000000001,0.010470400000000001,0.027284,0.041184,0.07893839999999999,8.213766033727765,Moderate,4,7.086635667927621,5.301175875676822,3.847615181293973,1.1271303658001441,2.912590158050943,4.366150852433792,13.722455219345994,35.459862699900675,53.15650378286028,O3
2000-09-28,16.7,30.3,47,86,1.0897247143234479,1.2469807701630309,3.4321855608813845,3.7583031207501616,1.2469807701630309,PM10,0.010838299999999999,0.012392700000000001,0.012392700000000001,0.033746,0.036894,0.0830327,8.657733904629804,Moderate,4,7.319480618676089,5.052149208113388,4.721965024984898,1.3382532859537157,3.6055846965164164,3.9357688796449066,15.457315975466424,41.64582483400531,45.4595731746874,O3
2000-10-02,19.4,37.1,36,155,1.2670195304273602,1.5289608127669219,2.6184956504964108,6.8755620283712515,1.5289608127669219,PM10,0.012590599999999999,0.0151739,0.0151739,0.025848,0.066495,0.1075169,11.350967890109565,Moderate,6,9.674093971527743,8.509647490209439,4.1874922356434086,1.6768739185818227,2.841320399900127,7.163475654466157,14.772959758285745,25.031525306100576,63.10894122701119,O3
2000-11-02,28.0,59.3,34,90,1.833811548326314,2.455021331061036,2.471241244710054,3.936505222580089,2.455021331061036,PM10,0.018171999999999997,0.0242537,0.0242537,0.024412,0.03861,0.0872757,9.119748139648198,Moderate,4,6.505027007950703,6.488168596553812,4.986932075470696,2.614721131697495,2.6315795430943867,4.1328160641775025,28.670979632978767,28.855835740173212,45.317217108332656,O3
