Date,NO2,O3,PM2.5,PM10,Date_raw,PM2.5_%ER,PM10_%ER,NO2_%ER,O3_%ER,PMmax_%ER,PMmax_source,LP_PM2.5,LP_PM10,LP_NO2,LP_O3,LP_PMmax,LP_total,Total_%ER,AQHI_Band
2000-02-27,11,59,11.0,29.1,27/02/2000,0.7164543409120094,1.1973009444275151,0.7929271475156652,2.5634043116804506,1.1973009444275151,PM10,0.0071389999999999995,0.011901900000000002,0.007898,0.025311,0.011901900000000002,0.0451109,4.614387083106752,Low
2000-02-28,23,61,9.1,30.5,28/02/2000,0.5923374210781818,1.2552631119331803,1.6651109801961494,2.6514414751221738,1.2552631119331803,PM10,0.0059058999999999995,0.012474500000000001,0.016514,0.026169,0.012474500000000001,0.0551575,5.670703292739909,Low
2000-02-29,24,51,13.9,29.4,29/02/2000,0.9061912755606416,1.2097186150619166,1.7381327415552095,2.212010045555113,1.2097186150619166,PM10,0.009021099999999999,0.0120246,0.017232,0.021879000000000003,0.0120246,0.0511356,5.246559794269046,Low
2000-01-03,23,61,10.9,23.5,1/03/2000,0.7099180551300543,0.9657838808957875,1.6651109801961494,2.6514414751221738,0.9657838808957875,PM10,0.0070741,0.0096115,0.016514,0.026169,0.0096115,0.05229450000000001,5.368600735379037,Low
2000-02-03,24,69,12.5,31.4,2/03/2000,0.8145495493084853,1.2925420350495598,1.7381327415552095,3.004346460825724,1.2925420350495598,PM10,0.0081125,0.012842600000000001,0.017232,0.029601000000000002,0.012842600000000001,0.0596756,6.149214263499481,Low
2000-03-03,34,106,13.7,25.7,3/03/2000,0.893094501932068,1.0566737784643898,2.471241244710054,4.652379464155998,1.0566737784643898,PM10,0.0088913,0.0105113,0.024412,0.045474,0.0105113,0.0803973,8.37175431352335,Moderate
2000-04-03,34,63,11.2,34.4,4/03/2000,0.7295281851596114,1.4169042647518948,2.471241244710054,2.739554206864292,1.4169042647518948,PM10,0.007268799999999999,0.0140696,0.024412,0.027027000000000002,0.0140696,0.0655086,6.77019195105224,Low
2000-05-03,34,51,11.5,26.3,5/03/2000,0.74914213365318,1.0814761293336028,2.471241244710054,2.212010045555113,1.0814761293336028,PM10,0.0074635,0.010756700000000001,0.024412,0.021879000000000003,0.010756700000000001,0.0570477,5.870630948204969,Low
2000-06-03,28,31,7.6,16.5,6/03/2000,0.49445843092721375,0.6771322436310623,2.0307446483558644,1.3387825025063638,0.6771322436310623,PM10,0.004932399999999999,0.0067485,0.020104,0.013299,0.0067485,0.0401515,4.096846896975603,Low
2000-07-03,17,35,7.3,20.7,7/03/2000,0.47489406452358995,0.8502240473856171,1.228079723320863,1.5128291425889007,0.8502240473856171,PM10,0.004737699999999999,0.0084663,0.012206,0.015015,0.0084663,0.0356873,3.633173488521657,Low
2000-08-03,17,31,4.7,17.2,8/03/2000,0.30549568988207376,0.7059602331221937,1.228079723320863,1.3387825025063638,0.7059602331221937,PM10,0.0030502999999999997,0.0070348,0.012206,0.013299,0.0070348,0.0325398,3.307500871111402,Low
2000-09-03,38,55,10.1,21.2,9/03/2000,0.6576430374447328,0.8708500271378483,2.765961665508554,2.3875564305146035,0.8708500271378483,PM10,0.006554899999999999,0.0086708,0.027284,0.023595,0.0086708,0.0595498,6.1358615322495424,Low
