Period,Total baseline deaths,Total Long-term AD mean,Total Long-term AD 2.5%,Total Long-term AD 97.5%,NOx contribution mean (%),PM contribution mean (%),O3 contribution mean (%),Long-term % of baseline (mean)
2000–2004,113253.187,16754.68581984503,12071.434720985806,21211.020516780904,24.66490021310316,53.01435470039851,17.665749951608706,14.79400824265107
2005–2009,107210.284,13619.32578807525,9167.687986363151,17991.20837899811,25.516691443598923,48.75068969031392,21.63915728534172,12.703376280651629
2010–2014,109733.791,11690.47054704126,7967.032176961516,15232.348658826208,25.95914127338125,48.14901584648146,22.473915867765907,10.653482797328364
2015–2019,106749.481,13875.97218351436,9728.641504965943,17905.113283320243,21.018753462216747,53.15194860288039,21.73545797665594,12.998631987273416
2020–2025,145532.338,13661.716312108907,9091.19164511161,18167.209442678075,24.021451835251394,49.03608135988984,23.89395402817016,9.387409355100793
