Series,n_years,Start year,End year,Slope per year,Intercept,R,R-squared,p-value,Std error,Trend direction,Significant (p<0.05),Total change over study period
Short-term annual attributable mortality,26,2000,2025,-8.015850536160794,16841.061152303457,-0.5091564554677208,0.25924029614445315,0.007894754554554016,2.7658677477308733,Decreasing,Yes,-200.39626340401986
Long-term annual attributable mortality,26,2000,2025,-35.5308818893009,74182.90636570209,-0.48264027989708064,0.23294163977913235,0.01251538166935774,13.161064144418198,Decreasing,Yes,-888.2720472325225
Short-term annual attributable mortality (% baseline),26,2000,2025,-0.04442719278992897,92.59238876979481,-0.576054889762204,0.331839236018945,0.0020719044130142338,0.012868261234134372,Decreasing,Yes,-1.1106798197482242
Long-term annual attributable mortality (% baseline),26,2000,2025,-0.18780930521603326,389.9954821095931,-0.5280507422028363,0.2788375863409663,0.005558566472168413,0.061652738173992236,Decreasing,Yes,-4.695232630400832
