Period,Total baseline deaths,Total Short-term AD mean,Total Short-term AD 2.5%,Total Short-term AD 97.5%,NOx contribution mean (%),PM contribution mean (%),O3 contribution mean (%),Short-term % of baseline (mean)
2000–2004,113253.187,4261.364024306133,3705.6850498148015,4819.706002859082,39.73343879659724,29.325162452298944,29.458335396845058,3.7626879535903326
2005–2009,107210.284,3728.4948923466923,3248.9221444142077,4213.793473770734,37.19637049604733,28.557478252810753,32.93273404685966,3.477739964149981
2010–2014,109733.791,3119.551604296474,2724.4008304061085,3520.771126047971,38.408359650884705,24.968711176291652,35.54097308623362,2.842835899378045
2015–2019,106749.481,3558.418634158966,3084.911879016301,4029.7516915637884,32.957332581160394,30.816902979061386,34.85413969305111,3.3334294469862256
2020–2025,145532.338,3770.3815001680105,3281.9345124543775,4263.737730098956,34.1107793283704,27.748646836441907,37.15145479844384,2.590751685833571
